id,license_plate,brand,model,year,status
38,DIJ471,Hyundai,Sonata,2020,rental ongoing
39,SNB414,Hyundai,Tucson,2012,rental ongoing
40,WYS881,Mazda,CX-30,2014,rental ongoing
41,ZKV059,Volkswagen,Jetta,2016,rent ineligible
42,NCG693,Mazda,CX-3,2021,rental ongoing
43,DPW875,Toyota,Prius,2021,rental ongoing
44,UIR116,Toyota,Camry,2022,rent ineligible
45,DPM325,Honda,Accord,2014,rent ineligible
46,NBV224,Kia,Sportage,2014,rental ongoing
47,KQJ782,Kia,Telluride,2012,rent ineligible
48,ZPV123,Honda,HR-V,2013,rental ongoing
49,BMZ113,Volkswagen,Atlas,2011,rent ineligible
50,PKQ304,Mazda,CX-3,2011,rental ongoing
51,GLE253,Subaru,Forester,2020,rental ongoing
52,GOI735,Toyota,Land Cruiser,2020,rental ongoing
53,CCX516,BMW,5 Series,2022,rental ongoing
54,SXX456,Ford,Ranger,2011,rental ongoing
55,ROV629,Nissan,Sentra,2014,rent ineligible
56,BXT604,Honda,Civic,2022,rental ongoing
57,MWU352,Nissan,Sentra,2022,rental ongoing
58,UYD514,Toyota,RAV4,2016,rental ongoing
59,GAV259,Chevrolet,Tahoe,2025,rental ongoing
60,FHD787,Subaru,Impreza,2010,rental ongoing
61,LKW668,Mercedes-Benz,A-Class,2016,rental ongoing
62,THQ403,BMW,X5,2014,rental ongoing
63,AVP580,Honda,Accord,2020,rent ineligible
64,BZK271,Chevrolet,Malibu,2010,rental ongoing
65,RYR732,BMW,7 Series,2011,rental ongoing
66,WPS564,Mazda,CX-30,2021,rental ongoing
67,YYR215,Subaru,Crosstrek,2019,rental ongoing
68,UCO128,Mazda,Mazda3,2021,rental ongoing
69,KSL466,Subaru,Legacy,2026,rental ongoing
70,XSW216,Mazda,Mazda3,2026,rental ongoing
71,NST130,Toyota,Land Cruiser,2026,rent ineligible
72,WEX856,Kia,Sportage,2014,rent ineligible
73,DPW269,Subaru,Ascent,2014,rent ineligible
74,QUO200,Ford,Escape,2012,rent ineligible
75,ZPP978,Mazda,CX-90,2012,rental ongoing
76,PMY847,Kia,Seltos,2019,rental ongoing
77,SMT834,Chevrolet,Equinox,2020,rental ongoing
78,BEX388,Ford,Bronco,2022,rental ongoing
79,LAI757,Kia,K5,2022,rental ongoing
80,HZB542,Volkswagen,Golf,2025,rental ongoing
81,NYE418,Chevrolet,Tahoe,2016,rental ongoing
82,KYS607,Chevrolet,Corvette,2026,rental ongoing
83,ZNO402,Mazda,CX-3,2024,rental ongoing
84,EQY061,Toyota,Land Cruiser,2014,rental ongoing
85,KUU921,Toyota,Prius,2025,rent ineligible
86,KHR237,Kia,Sorento,2024,rental ongoing
87,AAW553,Mazda,CX-90,2010,rental ongoing
88,TQW286,Honda,Odyssey,2014,rent ineligible
89,IKD119,Toyota,Corolla,2014,rental ongoing
90,YCG005,Kia,Seltos,2024,rental ongoing
91,JTX189,BMW,X5,2013,rental ongoing
92,TGY601,Mercedes-Benz,C-Class,2015,rental ongoing
93,WEO759,Volkswagen,Passat,2017,rental ongoing
94,ROB198,Mercedes-Benz,GLC,2016,rental ongoing
95,LSK044,Ford,Explorer,2025,rent ineligible
96,SYW707,Kia,Seltos,2019,rental ongoing
97,IPG243,Hyundai,Elantra,2025,rental ongoing
98,BUG216,Chevrolet,Suburban,2012,rental ongoing
99,JIT316,Mercedes-Benz,GLE,2026,rent ineligible
100,VVL387,Toyota,RAV4,2023,rental ongoing
101,JIR082,Hyundai,Tucson,2011,rental ongoing
102,QPV864,Honda,HR-V,2014,rent ineligible
103,HQR661,Honda,HR-V,2022,rental ongoing
104,EZA967,BMW,3 Series,2014,rental ongoing
105,YOI460,Kia,Forte,2025,rental ongoing
106,JLT365,Ford,Bronco,2018,rental ongoing
107,YCP656,Mazda,CX-30,2025,rent ineligible
108,MBL757,Hyundai,Kona,2022,rental ongoing
109,JIP927,Toyota,Corolla,2018,rent ineligible
110,DHC354,Chevrolet,Malibu,2012,rent ineligible
111,NHT946,Mercedes-Benz,S-Class,2020,rental ongoing
112,PFL267,Mercedes-Benz,GLC,2025,rental ongoing
113,ALP374,Kia,Telluride,2012,rental ongoing
114,TVK815,Mercedes-Benz,E-Class,2024,rental ongoing
115,EZK158,Hyundai,Kona,2017,rental ongoing
116,SXI691,Kia,Sorento,2024,rental ongoing
117,OCM567,Hyundai,Sonata,2025,rent ineligible
118,YNS212,Toyota,Hilux,2014,rent ineligible
119,IBP003,BMW,X3,2017,rental ongoing
120,FUC977,Toyota,Hilux,2018,rental ongoing
121,JSF072,Mercedes-Benz,S-Class,2011,rental ongoing
122,SDT732,Mercedes-Benz,GLC,2020,rental ongoing
123,TNA320,BMW,3 Series,2024,rental ongoing
